,Cuisine Style,Price Range,Number of Reviews
2370,"['Bar', 'British']",$$ - $$$,39
2189,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,61
2369,['Pub'],$,66
2226,"['Fast Food', 'Turkish', 'Middle Eastern']",,4
2156,['Italian'],$$ - $$$,27
2321,,$,11
2167,"['Cafe', 'Fast Food', 'Vegetarian Friendly']",$,160
2385,"['Italian', 'Mediterranean']",,1
2202,,,1
2280,"['Chinese', 'Japanese', 'Asian']",$$ - $$$,24
2204,['Spanish'],$,13
2192,"['Asian', 'Vietnamese']",$,43
2211,"['Mediterranean', 'Spanish', 'Gluten Free Options']",$$ - $$$,351
2270,,,5
2175,"['Chinese', 'Asian', 'Cantonese']",$$ - $$$,399
2264,"['Austrian', 'European', 'Central European']",$$ - $$$,235
2222,"['Seafood', 'European', 'Greek']",$$ - $$$,116
2228,"['Steakhouse', 'Barbecue', 'European']",$$ - $$$,40
2247,['Spanish'],$$ - $$$,12
2279,"['Italian', 'International', 'European']",$$ - $$$,121
2229,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,88
2318,"['Gastropub', 'Vegetarian Friendly']",$$ - $$$,45
2287,,$,33
2363,"['French', 'Vegetarian Friendly']",$$ - $$$,54
2542,['Spanish'],,3
2434,['Pub'],$$ - $$$,3
2343,"['Italian', 'Bar']",$$ - $$$,5
2448,"['Quick Bites', 'Cafe', 'Fast Food']",$,263
2422,"['European', 'Czech']",,1
2630,,,8
2319,"['Mediterranean', 'Spanish', 'Contemporary']",$$ - $$$,18
2155,"['Italian', 'Vegetarian Friendly']",$,77
2207,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,596
2295,"['Bar', 'Mediterranean', 'European']",$$ - $$$,270
2136,,,3
2233,,,1
2458,"['Bar', 'European', 'Pub']",$$ - $$$,77
2199,"['Quick Bites', 'Italian', 'Cafe']",$,76
2160,"['Japanese', 'Seafood', 'Sushi']",$$$$,209
2526,['Greek'],$,23
2214,"['French', 'European', 'Contemporary']",$$ - $$$,140
2188,"['European', 'Danish']",,7
2407,"['Italian', 'Mediterranean', 'European']",$$ - $$$,59
2143,"['Cafe', 'European', 'Danish']",$$ - $$$,34
2358,"['Asian', 'Thai', 'Vegetarian Friendly']",$,99
2301,"['Irish', 'Brew Pub', 'Pub']",$$ - $$$,30
2361,"['Chinese', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,131
2144,"['Cafe', 'British', 'Scottish']",$,70
2470,"['Mediterranean', 'Spanish']",$,46
2365,,,46
2276,"['American', 'Bar', 'Fast Food']",$$ - $$$,83
2499,"['Deli', 'Contemporary']",$,52
2387,"['Bar', 'British', 'Pub']",$$ - $$$,101
2294,"['Swiss', 'European', 'Central European']",$$ - $$$,620
2248,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,80
2425,['Spanish'],$$ - $$$,13
2338,"['Asian', 'Vietnamese']",$,33
2238,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,565
2173,"['Italian', 'Seafood', 'Vegetarian Friendly']",$$ - $$$,80
2208,"['European', 'Central European', 'Hungarian']",$$ - $$$,412
2486,,$$ - $$$,12
2241,"['Italian', 'International', 'Mediterranean']",$$$$,36
2306,"['French', 'Brew Pub', 'Bar']",$$ - $$$,254
2231,"['Italian', 'Pizza']",$$ - $$$,66
2268,"['European', 'Swedish', 'Scandinavian']",$$ - $$$,788
2375,['Pizza'],$$ - $$$,32
2347,"['Cafe', 'Vegetarian Friendly']",$,18
2445,"['Dessert', 'French']",$$ - $$$,23
2528,"['Barbecue', 'European', 'Croatian']",$$ - $$$,16
2230,"['Quick Bites', 'Fast Food']",$,52
2386,,,1
2119,,,
2413,"['French', 'European', 'Contemporary']",$$ - $$$,845
2641,"['Bar', 'British', 'Pub']",$$ - $$$,351
2439,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",$,28
2463,"['Italian', 'Pizza', 'International']",$$ - $$$,271
2224,,,
2125,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,118
2449,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,64
2464,"['Moroccan', 'Middle Eastern', 'Vegetarian Friendly']",$$ - $$$,555
2418,"['French', 'European']",$$ - $$$,1103
2345,['British'],$$ - $$$,93
2257,"['Bar', 'Pub', 'Wine Bar']",$$ - $$$,17
2503,,,4
2196,,,
2460,"['American', 'Fast Food', 'Street Food']",$,26
2195,,,4
2249,['German'],$$ - $$$,10
2507,['Indian'],$,10
2392,"['Barbecue', 'Turkish']",$$ - $$$,28
2323,"['Austrian', 'European', 'Central European']",$$ - $$$,163
2465,"['Spanish', 'Vegetarian Friendly']",$$ - $$$,45
2498,"['Asian', 'Indonesian', 'Vegetarian Friendly']",$$ - $$$,126
2726,"['French', 'Mediterranean', 'Spanish']",$$ - $$$,120
2547,"['American', 'Pizza']",$,7
2510,"['European', 'Swedish', 'Scandinavian']",$$ - $$$,17
2597,"['German', 'European', 'Central European']",$$ - $$$,283
2760,,,2
2402,['Greek'],$$ - $$$,79
2219,"['Irish', 'Bar', 'European']",$$ - $$$,102
2366,"['American', 'Mediterranean', 'Barbecue']",$,8
2384,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,16
2367,"['American', 'Pizza']",$$ - $$$,34
2468,"['Chinese', 'Asian', 'Thai']",,11
2342,"['French', 'Gastropub']",$$ - $$$,16
2444,"['French', 'British']",$$ - $$$,96
2346,"['International', 'Contemporary', 'Healthy']",$$ - $$$,25
2329,['Spanish'],$$ - $$$,4
2151,,,
2308,['Healthy'],,9
2284,['French'],$$ - $$$,70
2225,"['Moroccan', 'Mediterranean']",$,12
2232,"['Japanese', 'Sushi', 'Asian']",$$$$,75
2243,['Italian'],$$ - $$$,140
2380,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,87
2381,['Spanish'],,6
2200,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,197
2537,['Mediterranean'],$$ - $$$,6
2600,"['European', 'Czech', 'Central European']",$$ - $$$,412
2776,['Spanish'],$,4
2237,"['Quick Bites', 'European', 'Thai']",$$ - $$$,117
2869,['Steakhouse'],$$ - $$$,65
2674,['French'],,10
2637,"['American', 'International']",,11
2835,"['Gastropub', 'Czech', 'Beer restaurants']",$,30
2962,,,33
2545,"['Italian', 'Bar', 'Cafe']",$,40
2847,['Deli'],$$ - $$$,49
2882,"['Cafe', 'Contemporary', 'Diner']",,9
2403,"['Bar', 'Cafe']",$$ - $$$,135
2431,,,2
2605,['Fast Food'],$,20
2505,"['Irish', 'Cafe', 'European']",$$ - $$$,521
2325,"['Italian', 'Vegetarian Friendly']",$$ - $$$,26
2401,,$,36
2581,"['Middle Eastern', 'Persian', 'Vegetarian Friendly']",$$ - $$$,29
2423,"['Bar', 'Pub']",$$ - $$$,191
2622,,,
2664,['Indian'],,4
2326,"['Bakeries', 'French']",$,25
2351,"['Bar', 'Spanish', 'Pub']",,13
2797,,,
2165,,,
2740,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,58
2816,['British'],$$ - $$$,43
2452,"['British', 'Vegetarian Friendly', 'Gluten Free Options']",$$$$,565
2328,"['Indian', 'Vegetarian Friendly']",$$ - $$$,15
2707,,,
2918,,,
2235,"['Italian', 'Seafood', 'Mediterranean']",$$$$,1118
2271,['French'],$$ - $$$,50
2171,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,261
2290,"['French', 'European', 'Healthy']",$$ - $$$,166
2561,['European'],,8
2435,"['Japanese', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,17
2858,,,
2374,"['Italian', 'European', 'Vegetarian Friendly']",$$$$,48
2447,"['Dessert', 'European']",$$ - $$$,75
2377,['Spanish'],$$ - $$$,47
2256,"['Bar', 'Pub']",$$ - $$$,41
2337,"['Bar', 'European']",$$ - $$$,91
2371,"['Japanese', 'Sushi', 'Asian']",$,22
2305,"['Asian', 'Vietnamese']",$$ - $$$,45
2437,"['Italian', 'Fast Food']",$$ - $$$,19
2348,,,5
2356,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,4027
2352,"['Bar', 'Spanish', 'Pub']",,12
2378,['Cafe'],,16
2429,"['Italian', 'International', 'Mediterranean']",$$ - $$$,1732
2462,"['Brazilian', 'South American']",$$ - $$$,155
2430,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,412
2512,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",$,21
2727,['Spanish'],$,10
2551,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,166
2292,"['Indian', 'Asian', 'Balti']",$$ - $$$,52
2483,"['Italian', 'European', 'Vegetarian Friendly']",$$ - $$$,27
2521,"['Italian', 'Pizza', 'Mediterranean']",$,538
2116,,,
2799,"['Pizza', 'Cafe', 'Barbecue', 'Turkish']",,7
2174,,,
2926,,,5
2888,"['Quick Bites', 'Mexican', 'Fast Food']",$,30
2841,"['Quick Bites', 'American', 'Fast Food']",$,91
2949,['French'],$$ - $$$,68
2286,"['French', 'European']",$$ - $$$,554
2205,,,
2121,,,
2398,"['American', 'Bar', 'Vegetarian Friendly']",$$ - $$$,574
2896,"['Latin', 'South American', 'Colombian']",$$ - $$$,74
2673,"['French', 'European', 'Deli']",$$ - $$$,54
2534,"['Bar', 'International', 'European']",$$ - $$$,206
2427,"['Italian', 'Mediterranean', 'Barbecue']",$$ - $$$,146
2453,,,
2884,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,17
2335,,,
2958,"['Quick Bites', 'Chinese', 'Fast Food']",$,45
2953,"['French', 'Asian', 'Contemporary']",$$$$,190
2606,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,123
2977,,$$ - $$$,167
2285,,,
2892,"['Quick Bites', 'Fast Food']",$,29
2408,,,
2283,,,
2461,"['Italian', 'Cafe', 'Fast Food']",$,39
2963,,,
2360,['European'],$$ - $$$,21
2324,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,38
2700,,,
2913,,,
2591,,$$ - $$$,13
2945,,,
2801,,,
2968,,,
2281,"['French', 'Bar', 'European']",$$ - $$$,92
2405,"['Japanese', 'Seafood', 'Sushi']",$$ - $$$,311
2096,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,128
2404,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",$,283
2353,"['Italian', 'Mediterranean', 'Spanish']",$,29
2330,"['Quick Bites', 'Brew Pub', 'Vegetarian Friendly']",$,234
2420,"['Cafe', 'European', 'Healthy']",$,1
2252,"['Italian', 'Pizza', 'European']",$$ - $$$,129
2649,"['French', 'American']",$,18
2599,,$$ - $$$,15
2576,"['Steakhouse', 'Barbecue', 'Grill']",$$ - $$$,29
2191,,,
2941,,,3
2748,"['British', 'Scottish']",,6
2623,,$,6
2158,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,30
2842,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,415
2889,['Cafe'],,4
2924,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,341
2812,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,26
2515,"['Italian', 'Seafood', 'Mediterranean']",$,69
2901,['Cafe'],,1
2917,"['Italian', 'Pizza', 'Mediterranean']",$,236
2832,"['European', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,50
2839,"['Bar', 'European', 'Pub']",$$ - $$$,69
2909,"['Austrian', 'European']",,5
2890,,$$ - $$$,43
2393,"['European', 'Gluten Free Options']",$$ - $$$,79
2772,['French'],$,17
2555,['Italian'],,12
2424,"['Italian', 'Mediterranean', 'European']",$$ - $$$,83
2836,,$,13
2414,"['Polish', 'International', 'Mediterranean']",$$ - $$$,12
2875,"['Indian', 'Asian', 'Bangladeshi']",$$ - $$$,634
2778,"['Bar', 'British', 'Pub']",$$ - $$$,71
2242,,,
2969,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,140
2967,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,18
2948,"['Italian', 'Seafood']",$$ - $$$,9
2944,"['Italian', 'Romana', 'Lazio']",$$ - $$$,372
2718,"['Indian', 'Asian', 'Balti']",$$ - $$$,1710
2440,"['Spanish', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,56
2327,['Italian'],$$ - $$$,66
2769,"['Indian', 'Barbecue', 'Street Food']",$,40
2716,['French'],,1
2652,,,1
2300,,,
2690,"['Peruvian', 'South American']",,75
2373,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,313
2689,"['Mediterranean', 'Barbecue', 'Greek']",$,151
2379,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,328
2382,,,
2855,['American'],$$ - $$$,154
2266,,,
2911,"['Japanese', 'Seafood', 'Sushi']",$,89
2959,"['Irish', 'Bar', 'European']",$,89
2594,"['Fast Food', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,316
2417,,,
2579,"['Seafood', 'International', 'European']",$$ - $$$,51
2548,['African'],,11
2568,"['Italian', 'Vegan Options']",$$ - $$$,415
2679,"['International', 'European', 'Vegetarian Friendly']",$$ - $$$,59
2331,,,
2724,['Austrian'],$$ - $$$,44
2477,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,170
2364,,,
2854,"['Irish', 'Bar', 'British']",$$ - $$$,21
2589,,,
2768,"['Bar', 'Mediterranean', 'Spanish']",$$ - $$$,133
2221,,,
2411,,,
2922,,,
2671,['Spanish'],$,220
2531,,,
2535,['French'],,14
2653,,,6
2639,,,
2478,"['Dutch', 'International', 'European']",$$ - $$$,12
2093,"['French', 'Bar', 'European']",$$ - $$$,128
2770,,,
2357,"['Cafe', 'Spanish']",$,9
2658,['Chinese'],,6
2482,,$$ - $$$,8
2142,,,
2563,,,
2613,['Middle Eastern'],,2
2722,['Italian'],,2
2446,,,2
2562,"['French', 'Bar', 'European']",$$ - $$$,157
2272,"['French', 'Fusion', 'Vegetarian Friendly']",$$ - $$$,56
2442,"['American', 'Pizza']",,11
2443,,,14
2494,"['European', 'Central European', 'Hungarian']",,11
2998,,,
2282,"['European', 'Central European', 'Hungarian']",$$ - $$$,26
2550,"['Quick Bites', 'Cafe', 'British']",$$ - $$$,485
2334,['Chinese'],$,10
2340,"['French', 'Chinese', 'Indian']",$$ - $$$,37
2481,"['Japanese', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,112
2185,"['Japanese', 'Sushi', 'Asian']",$,15
2433,"['Asian', 'Malaysian', 'Vegetarian Friendly']",$,127
2572,,$,7
2634,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,145
2666,"['Italian', 'Mediterranean', 'European']",$$ - $$$,202
2787,['Italian'],$$ - $$$,8
2557,"['Mediterranean', 'Spanish', 'Fusion']",$$ - $$$,29
2570,"['European', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,72
2938,['Asian'],,11
2844,['Japanese'],,4
2862,['Italian'],$$ - $$$,6
2848,,,1
2497,['Italian'],$,1466
2339,,,
2755,"['International', 'European', 'Central European']",$$ - $$$,96
2871,"['International', 'European', 'Greek']",$$ - $$$,24
2877,"['Mediterranean', 'Spanish']",$$ - $$$,12
2900,"['European', 'Portuguese']",$$ - $$$,88
2441,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,59
2642,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,63
2265,"['Bar', 'Spanish', 'Pub']",$,76
2559,"['Cafe', 'Mediterranean', 'Spanish']",$,25
2883,"['Italian', 'Pizza', 'Fast Food']",$$ - $$$,92
2473,"['Italian', 'Bar', 'Pizza']",$$ - $$$,57
2940,"['Italian', 'Bar', 'Cafe']",$,385
2698,"['European', 'Soups', 'Eastern European']",$$ - $$$,1052
2303,['Pub'],$,50
2849,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",$,52
2866,['Italian'],,3
2432,"['French', 'Belgian', 'Seafood']",$$ - $$$,1231
2986,,,4
2861,['Chinese'],$$ - $$$,43
2806,"['Asian', 'Korean', 'Vegetarian Friendly']",$$ - $$$,112
2259,,,
2957,"['Italian', 'French', 'Pizza']",$,11
2817,"['Quick Bites', 'Brew Pub', 'Fast Food']",$,1782
2513,,,
2645,"['Latin', 'Bar', 'Cafe']",$$ - $$$,33
2897,,,
2695,"['Contemporary', 'Scandinavian', 'Danish']",$$$$,634
2759,,,
2456,,,
2791,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,511
2517,"['Pizza', 'Argentinean', 'South American']",$,91
2593,['French'],,27
2302,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,203
2711,,,
2479,,,
2148,,,
2274,"['Contemporary', 'Hungarian', 'Vegetarian Friendly']",$$ - $$$,1841
2397,,,
2260,['Cafe'],$$ - $$$,18
2683,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,167
2333,"['Italian', 'Bar', 'Cafe']",$$ - $$$,36
2428,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,365
2887,,,
2728,['Japanese'],$$ - $$$,42
2549,"['International', 'Contemporary', 'Fusion']",$$$$,182
2628,"['Bar', 'Pub']",$,27
2681,,,5
2506,,,
2587,,,
2539,"['Bakeries', 'Cafe']",$,26
2584,['Italian'],$$ - $$$,11
2631,"['Mediterranean', 'Spanish']",$,14
2693,['Spanish'],,2
2495,,,
2609,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,389
2471,"['Swiss', 'Cafe', 'European']",$$ - $$$,11
2349,,,
2574,,,4
2532,"['Brew Pub', 'Polish', 'Bar']",$,1
2484,['Vegetarian Friendly'],$,8
2706,,,
2509,"['Dessert', 'Deli']",$$ - $$$,17
2667,['French'],,3
2843,"['Steakhouse', 'Brazilian', 'Latin']",$$ - $$$,120
2198,,,
2194,,,
2934,"['Chinese', 'Asian']",$,79
2390,['French'],$$ - $$$,35
2677,,,1
2344,"['Brew Pub', 'Bar', 'European']",$$ - $$$,49
2735,,,16
2807,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,48
2745,"['French', 'European']",$$ - $$$,237
2702,"['Cafe', 'British']",$$ - $$$,57
2234,"['Polish', 'European', 'Eastern European']",$,441
2831,"['French', 'Steakhouse', 'European']",$$ - $$$,189
2960,['Seafood'],$,22
2928,"['European', 'Central European', 'Hungarian']",$$ - $$$,59
2919,"['Mediterranean', 'European', 'Vegetarian Friendly']",$$ - $$$,216
2881,"['Chinese', 'Asian', 'Cantonese']",$$ - $$$,54
2916,"['Cafe', 'British', 'Vegetarian Friendly']",$$ - $$$,150
2738,"['Italian', 'Mediterranean', 'Romana']",$,174
2995,"['Bar', 'Cafe', 'International']",$,143
2937,,$$ - $$$,7
2736,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,141
2946,"['Mediterranean', 'European', 'Portuguese']",$$ - $$$,71
2936,"['Bar', 'Mediterranean', 'European']",$$ - $$$,35
2983,"['Italian', 'Pizza', 'Gastropub']",$,6
2529,"['Italian', 'French', 'Mediterranean']",$$ - $$$,279
2697,"['Asian', 'Thai', 'Korean']",$$ - $$$,10
2518,,$$ - $$$,3
2743,"['Italian', 'Pizza']",,14
2635,"['Italian', 'Pizza', 'European']",$$ - $$$,298
2811,['Indian'],$$ - $$$,14
2981,['Japanese'],$$ - $$$,14
2571,"['European', 'Portuguese']",$$ - $$$,49
2527,"['International', 'Mediterranean', 'Spanish']",$$ - $$$,496
2773,"['Contemporary', 'Portuguese']",$$ - $$$,33
2618,"['American', 'Steakhouse', 'Barbecue']",$$ - $$$,168
2709,['American'],$$ - $$$,40
2474,"['Mediterranean', 'European', 'Spanish']",$$$$,1330
2354,"['Japanese', 'Seafood', 'Sushi']",$$$$,488
2993,['Italian'],$,79
2820,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,92
2880,"['American', 'Bar', 'Grill']",$$ - $$$,1057
2746,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,104
2990,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,126
2388,['Italian'],,7
2818,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,72
2879,,$$ - $$$,10
2961,,,3
2905,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$$$,1140
2502,"['Peruvian', 'Fast Food', 'Spanish']",$$ - $$$,3
2870,"['Mediterranean', 'European', 'Spanish']",$$$$,914
2950,"['Bar', 'International', 'Mediterranean']",$$ - $$$,1091
2923,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$,21
2971,"['French', 'European', 'Contemporary']",$$ - $$$,534
2783,"['French', 'European', 'Healthy']",$$ - $$$,1787
2902,"['Cafe', 'British', 'Vegetarian Friendly']",$$ - $$$,82
2480,"['Cafe', 'International', 'Healthy']",$,138
2672,['British'],,2
2833,['Soups'],$,11
2400,,,5
2764,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,680
2596,,,
2520,"['Chinese', 'Japanese', 'Seafood']",$$ - $$$,244
2389,"['Quick Bites', 'American', 'Fast Food']",$,90
2903,"['Moroccan', 'Mediterranean']",$$$$,3
2965,"['American', 'Fast Food']",$,103
2612,"['European', 'Healthy', 'Danish']",$,8
2757,['Italian'],,1
2784,"['Italian', 'European', 'Central European']",$$ - $$$,17
2585,,,
2898,,,
2970,,,
2656,,,
2459,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,18
2500,,,
2467,"['Italian', 'Mediterranean', 'European']",$$ - $$$,247
2825,"['Chinese', 'Asian', 'Vietnamese']",$$ - $$$,56
2712,"['European', 'Vegetarian Friendly']",$$ - $$$,27
2179,,,35
2800,,,2
2646,['French'],$$ - $$$,13
2765,,,
2925,['Italian'],,1
2904,['Spanish'],,11
2355,"['Italian', 'Pizza', 'Seafood']",$,164
2996,['Spanish'],,21
2932,,,
2895,,,
2682,"['European', 'Eastern European', 'Central European']",$$ - $$$,146
2920,['Cafe'],$$ - $$$,27
2943,"['European', 'Portuguese']",$$ - $$$,78
2258,"['Quick Bites', 'Fast Food', 'European']",$,122
2692,"['German', 'European', 'Central European']",$$ - $$$,40
2489,"['Bar', 'Barbecue', 'European']",$$ - $$$,37
2655,"['Vegetarian Friendly', 'Vegan Options']",$$ - $$$,26
2533,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,27
2553,['Pizza'],,2
2756,"['Italian', 'Pizza', 'Mediterranean']",$,450
2951,,,
2956,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,47
2927,"['Cafe', 'European', 'Vegetarian Friendly']",$$ - $$$,51
2886,,,
2567,"['European', 'Czech']",,2
2299,['French'],$,70
2657,"['Mediterranean', 'Barbecue', 'Turkish']",$$ - $$$,42
2603,['Spanish'],,4
2383,"['Mediterranean', 'European', 'Greek']",$$ - $$$,35
2828,['Japanese'],,98
2466,"['Lebanese', 'Mediterranean', 'Middle Eastern']",$,20
2685,['Italian'],$,9
2604,"['American', 'Bar', 'International']",$$ - $$$,125
2912,['French'],,4
2785,"['Bar', 'European', 'Central European']",$$ - $$$,169
2802,['Bar'],$$ - $$$,123
2865,,,
2632,['Italian'],,2
2552,"['Cafe', 'British', 'Vegetarian Friendly']",$$ - $$$,100
2139,"['Italian', 'Pizza', 'Mediterranean']",$,160
2588,"['Polish', 'European', 'Pub']",$$ - $$$,37
2372,"['French', 'Bar', 'Cafe']",$$ - $$$,139
2931,"['European', 'Czech', 'Vegetarian Friendly']",$$ - $$$,29
2508,"['Dutch', 'Bar', 'Cafe']",$$ - $$$,53
2592,"['French', 'European', 'Vegetarian Friendly']",$,113
2873,"['Mexican', 'Southwestern', 'Latin']",$,17
2933,['Italian'],$$ - $$$,189
2899,"['Austrian', 'European', 'Gastropub']",$$ - $$$,382
2829,"['Middle Eastern', 'Persian']",$$ - $$$,19
2485,"['Seafood', 'Mediterranean', 'Spanish']",$$$$,766
2564,"['Italian', 'Bar', 'Contemporary']",$$ - $$$,45
2451,"['Spanish', 'Gluten Free Options']",$$ - $$$,938
2891,['Italian'],$,12
2723,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,227
2979,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,130
2822,"['Cafe', 'European', 'Vegetarian Friendly']",$$ - $$$,68
2874,"['European', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,24
2947,['Italian'],,8
2868,"['International', 'European', 'Wine Bar']",$$ - $$$,246
2864,"['Italian', 'Pizza', 'Mediterranean']",$,176
2863,"['Italian', 'Mediterranean', 'European']",$$ - $$$,134
2496,"['American', 'Bar', 'Vegetarian Friendly']",$$ - $$$,847
2751,"['Italian', 'Vegetarian Friendly']",$,35
2860,"['European', 'Soups', 'Central European']",$$ - $$$,234
2582,['French'],$$ - $$$,2
2525,"['Italian', 'Mediterranean', 'Street Food']",$$ - $$$,89
2893,"['European', 'Central European', 'Hungarian']",$,1349
2714,,,26
2837,['International'],$,32
2699,"['Italian', 'Seafood', 'Mediterranean']",$$$$,175
2739,"['Wine Bar', 'Vegetarian Friendly']",$$ - $$$,33
2793,"['Bar', 'British', 'Grill']",$,93
2742,,,
2159,"['Bar', 'British', 'Pub']",$$ - $$$,180
2569,"['Italian', 'Pizza', 'Mediterranean']",$,300
2575,"['Greek', 'Vegetarian Friendly']",$$ - $$$,26
2688,"['Irish', 'Cafe']",$$ - $$$,127
2406,"['Vegetarian Friendly', 'Vegan Options']",$,15
2391,['International'],$,2
2625,"['European', 'Portuguese']",$$ - $$$,226
2753,['American'],$$ - $$$,60
2669,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,22
2621,,$$ - $$$,10
2710,['Wine Bar'],,7
2781,"['Vegetarian Friendly', 'Vegan Options']",$,22
2964,['Italian'],,4
2725,['French'],$$ - $$$,74
2752,"['International', 'European', 'Soups']",$$ - $$$,6203
2615,"['Fast Food', 'European', 'Soups']",$$ - $$$,37
2524,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,338
2782,"['Austrian', 'Diner', 'Vegetarian Friendly']",$$ - $$$,17
2853,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,142
2767,"['French', 'Seafood']",,3
2705,,,
2617,['Healthy'],,1
2894,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,330
2942,,,
2720,,,9
2851,"['Steakhouse', 'Mediterranean', 'Greek']",$,85
2541,"['Belgian', 'European']",$$ - $$$,36
2906,"['Specialty Food Market', 'Contemporary', 'Healthy']",$,118
2796,,,
2741,"['Bar', 'Pub']",$$ - $$$,145
2952,"['Fusion', 'Hawaiian']",$$ - $$$,74
2846,"['Cafe', 'International', 'British']",$,327
2394,['Cafe'],$,15
2794,['American'],$,37
2676,['South American'],,1
2701,['Fast Food'],,4
2560,,,8
2915,,,1
2341,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,146
2840,"['Seafood', 'European', 'British']",$$ - $$$,865
2730,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,53
2907,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,471
2107,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,673
2715,"['European', 'Asian', 'Diner']",$,31
2650,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,346
2792,"['Italian', 'French']",$$ - $$$,18
2643,"['Diner', 'Vegetarian Friendly', 'Vegan Options']",$,928
2415,"['Chinese', 'Japanese', 'Sushi']",$,176
2763,"['British', 'Contemporary']",$$ - $$$,78
2826,"['Latin', 'Venezuelan', 'Vegetarian Friendly']",$,607
2930,"['French', 'European', 'Vegetarian Friendly']",$$$$,1220
2580,['Spanish'],,7
2734,"['Italian', 'Pizza', 'European']",$$ - $$$,141
2976,"['European', 'Hungarian', 'Central American']",$,6
2713,['Fast Food'],$,6
2619,"['American', 'Bar', 'Vegetarian Friendly']",$$ - $$$,1022
